FK,MS,FK,SP,151001,2015,1,3,1,01/09/2015,25/12/2015,0,60
IR,IT,IR,IT,162311,2016,1,3,1,01/09/2016,25/12/2016,0,60
FK,MS,FK,SP,161103,2016,1,2,1,01/09/2016,25/12/2016,0,60
FK,MS,FK,SP,151001,2016,2,3,1,01/09/2016,25/12/2016,60,120
IR,IR,IR,IT,172507,2017,1,1,1,01/09/2017,25/12/2017,0,60
FK,MS,FK,SP,171101,2017,1,1,1,01/09/2017,25/12/2017,0,60
TH,HOT,TH,TH,173205,2017,1,3,1,01/09/2017,25/12/2017,0,60
PF,PE,PF,PO,174212,2017,1,1,1,01/09/2017,25/12/2017,0,60
IR,IT,IR,IT,162311,2017,2,3,1,01/09/2017,25/12/2017,60,120
FK,MS,FK,SP,161103,2017,2,2,1,01/09/2017,25/12/2017,60,120
FK,MS,FK,SP,151001,2017,3,3,1,01/09/2017,25/12/2017,120,180
TF,SII,TF,IT,182708,2018,1,3,1,01/09/2018,25/12/2018,0,60
IR,IR,IR,IT,182512,2018,1,2,1,01/09/2018,25/12/2018,0,60
FK,FVS,FK,SP,181206,2018,1,3,1,01/09/2018,25/12/2018,0,60
TH,HOT,TH,TH,183207,2018,1,1,1,01/09/2018,25/12/2018,0,60
TH,EH,TH,TH,183304,2018,1,3,1,01/09/2018,25/12/2018,0,60
PF,PE,PF,PO,184204,2018,1,3,1,01/09/2018,25/12/2018,0,60
PF,ANG,PF,PO,184306,2018,1,3,1,01/09/2018,25/12/2018,0,60
IR,IR,IR,IT,172507,2018,2,1,1,01/09/2018,25/12/2018,60,120
FK,MS,FK,SP,171101,2018,2,1,1,01/09/2018,25/12/2018,60,120
TH,HOT,TH,TH,173205,2018,2,3,1,01/09/2018,25/12/2018,60,120
PF,PE,PF,PO,174212,2018,2,1,1,01/09/2018,25/12/2018,60,120
IR,IT,IR,IT,162311,2018,3,3,1,01/09/2018,25/12/2018,120,180
FK,MS,FK,SP,161103,2018,3,2,1,01/09/2018,25/12/2018,120,180
FK,MS,FK,SP,151001,2018,4,3,1,01/09/2018,25/12/2018,180,240
TF,SII,TF,IT,192709,2019,1,1,1,01/09/2019,25/12/2019,0,60
TF,SII,TF,IT,192701,2019,1,2,1,01/09/2019,25/12/2019,0,60
IR,IR,IR,IT,192503,2019,1,3,1,01/09/2019,25/12/2019,0,60
IR,IT,IR,IT,192302,2019,1,2,1,01/09/2019,25/12/2019,0,60
FK,FVS,FK,SP,191203,2019,1,1,1,01/09/2019,25/12/2019,0,60
TH,TUR,TH,TH,193108,2019,1,3,1,01/09/2019,25/12/2019,0,60
TH,EH,TH,TH,193307,2019,1,1,1,01/09/2019,25/12/2019,0,60
TH,EH,TH,TH,193308,2019,1,2,1,01/09/2019,25/12/2019,0,60
PF,PE,PF,PO,194208,2019,1,2,1,01/09/2019,25/12/2019,0,60
PF,ANG,PF,PO,194307,2019,1,2,1,01/09/2019,25/12/2019,0,60
TF,SII,TF,IT,182708,2019,2,3,1,01/09/2019,25/12/2019,60,120
IR,IR,IR,IT,182512,2019,2,2,1,01/09/2019,25/12/2019,60,120
FK,FVS,FK,SP,181206,2019,2,3,1,01/09/2019,25/12/2019,60,120
TH,HOT,TH,TH,183207,2019,2,1,1,01/09/2019,25/12/2019,60,120
TH,EH,TH,TH,183304,2019,2,3,1,01/09/2019,25/12/2019,60,120
PF,PE,PF,PO,184204,2019,2,3,1,01/09/2019,25/12/2019,60,120
PF,ANG,PF,PO,184306,2019,2,3,1,01/09/2019,25/12/2019,60,120
IR,IR,IR,IT,172507,2019,3,1,1,01/09/2019,25/12/2019,120,180
FK,MS,FK,SP,171101,2019,3,1,1,01/09/2019,25/12/2019,120,180
TH,HOT,TH,TH,173205,2019,3,3,1,01/09/2019,25/12/2019,120,180
PF,PE,PF,PO,174212,2019,3,1,1,01/09/2019,25/12/2019,120,180
IR,IT,IR,IT,162311,2019,4,3,1,01/09/2019,25/12/2019,180,240
FK,MS,FK,SP,161103,2019,4,2,1,01/09/2019,25/12/2019,180,240
IR,IT,IR,IT,202306,2020,1,1,1,01/09/2020,25/12/2020,0,60
FK,FVS,FK,SP,201207,2020,1,2,1,01/09/2020,25/12/2020,0,60
TH,TUR,TH,TH,203103,2020,1,1,1,01/09/2020,25/12/2020,0,60
TH,TUR,TH,TH,203112,2020,1,2,1,01/09/2020,25/12/2020,0,60
TH,HOT,TH,TH,203206,2020,1,2,1,01/09/2020,25/12/2020,0,60
PF,ANG,PF,PO,204303,2020,1,1,1,01/09/2020,25/12/2020,0,60
TF,SII,TF,IT,192709,2020,2,1,1,01/09/2020,25/12/2020,60,120
TF,SII,TF,IT,192701,2020,2,2,1,01/09/2020,25/12/2020,60,120
